start_gesture_time,end_gesture_time,gesture_detected,send_time,inference_time,fps
19:16:58.453,19:16:58.931,Maju,19:16:58.931,0.47748,32.55
19:16:58.965,19:16:59.020,Stop,19:16:59.021,0.05500,1.96
19:16:59.041,19:16:59.224,Stop,19:16:59.224,0.18259,12.96
19:16:59.258,19:16:59.311,Kiri,19:16:59.312,0.05351,4.61
19:16:59.334,19:16:59.388,Kiri,19:16:59.388,0.05392,13.02
19:16:59.411,19:16:59.462,Kiri,19:16:59.462,0.05067,13.01
19:16:59.489,19:16:59.543,Kiri,19:16:59.543,0.05368,12.82
19:16:59.566,19:16:59.625,Kiri,19:16:59.626,0.05874,13.01
19:16:59.658,19:16:59.710,Kiri,19:16:59.710,0.05211,10.82
19:16:59.735,19:16:59.786,Kiri,19:16:59.787,0.05065,12.99
19:16:59.813,19:16:59.867,Kiri,19:16:59.867,0.05348,12.90
19:16:59.891,19:16:59.942,Kiri,19:16:59.942,0.05048,12.94
19:16:59.968,19:17:00.021,Kiri,19:17:00.021,0.05363,12.87
19:17:00.045,19:17:00.096,Kiri,19:17:00.097,0.05116,12.90
19:17:00.122,19:17:00.175,Kiri,19:17:00.175,0.05326,13.05
19:17:00.201,19:17:00.254,Kiri,19:17:00.255,0.05249,12.77
19:17:00.279,19:17:00.330,Kiri,19:17:00.330,0.05130,12.91
19:17:00.356,19:17:00.406,Kanan,19:17:00.406,0.04963,12.90
19:17:00.432,19:17:00.485,Kanan,19:17:00.485,0.05322,13.04
19:17:00.510,19:17:00.563,Kanan,19:17:00.563,0.05313,12.83
19:17:00.588,19:17:00.640,Kanan,19:17:00.640,0.05253,12.86
19:17:00.665,19:17:00.718,Kanan,19:17:00.718,0.05224,12.99
19:17:00.740,19:17:00.792,Kanan,19:17:00.792,0.05186,13.23
19:17:00.819,19:17:00.869,Kanan,19:17:00.869,0.05067,12.89
19:17:00.897,19:17:00.949,Kanan,19:17:00.950,0.05166,12.69
19:17:00.975,19:17:01.028,Kanan,19:17:01.028,0.05292,12.92
19:17:01.050,19:17:01.104,Mundur,19:17:01.104,0.05315,13.05
19:17:01.129,19:17:01.180,Mundur,19:17:01.180,0.05085,12.88
19:17:01.208,19:17:01.259,Mundur,19:17:01.259,0.05159,12.70
19:17:01.283,19:17:01.335,Mundur,19:17:01.335,0.05177,13.17
19:17:01.363,19:17:01.415,Mundur,19:17:01.415,0.05160,12.69
19:17:01.440,19:17:01.491,Mundur,19:17:01.491,0.05034,12.81
19:17:01.517,19:17:01.570,Mundur,19:17:01.571,0.05238,12.99
19:17:01.595,19:17:01.647,Mundur,19:17:01.648,0.05228,12.92
19:17:01.671,19:17:01.724,Mundur,19:17:01.725,0.05297,13.08
19:17:01.749,19:17:01.802,Mundur,19:17:01.802,0.05275,12.83
19:17:01.826,19:17:01.875,Mundur,19:17:01.876,0.04886,12.96
19:17:01.902,19:17:01.955,Maju,19:17:01.955,0.05306,13.17
19:17:01.980,19:17:02.034,Maju,19:17:02.034,0.05389,12.88
19:17:02.057,19:17:02.109,Maju,19:17:02.111,0.05238,12.86
19:17:02.134,19:17:02.187,Maju,19:17:02.187,0.05236,12.88
19:17:02.212,19:17:02.264,Maju,19:17:02.264,0.05113,12.89
19:17:02.291,19:17:02.341,Maju,19:17:02.343,0.05010,12.79
19:17:02.368,19:17:02.420,Maju,19:17:02.420,0.05204,12.80
19:17:02.447,19:17:02.497,Stop,19:17:02.497,0.05020,12.83
19:17:02.525,19:17:02.576,Stop,19:17:02.576,0.05057,12.80
19:17:02.602,19:17:02.654,Stop,19:17:02.654,0.05149,12.92
19:17:02.680,19:17:02.729,Stop,19:17:02.730,0.04957,12.93
19:17:02.757,19:17:02.812,Stop,19:17:02.812,0.05443,12.77
19:17:02.834,19:17:02.888,Stop,19:17:02.889,0.05420,13.04
19:17:02.911,19:17:02.965,Stop,19:17:02.965,0.05375,13.11
19:17:02.990,19:17:03.041,Stop,19:17:03.041,0.05092,12.72
