start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps,confidence
20:30:39.809,20:30:40.179,Maju,Maju,True,20:30:40.180,0.36922,31.99,0.9703
20:30:40.320,20:30:40.388,Maju,Maju,True,20:30:40.388,0.06855,9.13,0.9683
20:30:40.536,20:30:40.605,Maju,Maju,True,20:30:40.605,0.06818,9.28,0.9680
20:30:40.755,20:30:40.965,Maju,Maju,True,20:30:40.966,0.20933,9.16,0.9669
20:30:41.112,20:30:41.191,Maju,Maju,True,20:30:41.191,0.07821,9.20,0.9671
20:30:41.347,20:30:41.427,Maju,Maju,True,20:30:41.427,0.08032,8.05,0.9682
20:30:41.592,20:30:41.670,Maju,Maju,True,20:30:41.670,0.07820,8.14,0.9681
20:30:41.809,20:30:41.876,Maju,Maju,True,20:30:41.877,0.06695,9.09,0.9681
20:30:42.025,20:30:42.092,Maju,Maju,True,20:30:42.093,0.06791,9.35,0.9681
20:30:42.240,20:30:42.310,Maju,Maju,True,20:30:42.311,0.06919,9.20,0.9681
20:30:42.456,20:30:42.524,Maju,Maju,True,20:30:42.524,0.06881,9.35,0.9681
20:30:42.671,20:30:42.740,Maju,Maju,True,20:30:42.740,0.06878,9.23,0.9678
20:30:42.887,20:30:42.955,Maju,Maju,True,20:30:42.955,0.06822,9.24,0.9680
20:30:43.104,20:30:43.172,Maju,Maju,True,20:30:43.172,0.06784,9.25,0.9682
20:30:43.320,20:30:43.390,Maju,Maju,True,20:30:43.390,0.06935,9.17,0.9684
20:30:43.537,20:30:43.610,Maju,Maju,True,20:30:43.610,0.07265,9.22,0.9684
20:30:43.755,20:30:43.821,Maju,Maju,True,20:30:43.821,0.06630,9.17,0.9685
20:30:43.970,20:30:44.037,Maju,Maju,True,20:30:44.038,0.06655,9.22,0.9685
20:30:44.187,20:30:44.254,Maju,Maju,True,20:30:44.254,0.06704,9.19,0.9682
20:30:44.403,20:30:44.470,Maju,Maju,True,20:30:44.470,0.06701,9.29,0.9681
20:30:44.603,20:30:44.671,Maju,Maju,True,20:30:44.671,0.06793,9.32,0.9674
20:30:44.819,20:30:44.889,Maju,Maju,True,20:30:44.889,0.07000,9.33,0.9671
20:30:45.035,20:30:45.101,Maju,Maju,True,20:30:45.102,0.06652,9.25,0.9680
20:30:45.251,20:30:45.318,Maju,Maju,True,20:30:45.318,0.06765,9.24,0.9682
20:30:45.467,20:30:45.535,Maju,Maju,True,20:30:45.535,0.06787,9.28,0.9681
20:30:45.682,20:30:45.750,Maju,Maju,True,20:30:45.750,0.06784,9.36,0.9679
20:30:45.900,20:30:45.968,Maju,Maju,True,20:30:45.968,0.06840,9.16,0.9666
20:30:46.117,20:30:46.186,Maju,Maju,True,20:30:46.187,0.06853,9.15,0.9666
20:30:46.334,20:30:46.400,Maju,Maju,True,20:30:46.400,0.06665,9.16,0.9678
20:30:46.548,20:30:46.615,Maju,Maju,True,20:30:46.615,0.06752,9.24,0.9682
20:30:46.765,20:30:46.832,Maju,Maju,True,20:30:46.833,0.06759,9.13,0.9681
20:30:46.966,20:30:47.033,Maju,Maju,True,20:30:47.034,0.06655,10.61,0.9681
20:30:47.181,20:30:47.248,Maju,Maju,True,20:30:47.249,0.06733,9.36,0.9671
20:30:47.399,20:30:47.469,Maju,Maju,True,20:30:47.469,0.06923,9.07,0.9601
20:30:47.616,20:30:47.683,Maju,Maju,True,20:30:47.683,0.06675,9.26,0.9502
20:30:47.817,20:30:47.886,Maju,Maju,True,20:30:47.887,0.06873,9.33,0.9221
20:30:48.032,20:30:48.100,Maju,Maju,True,20:30:48.100,0.06744,9.26,0.8975
20:30:48.250,20:30:48.317,Maju,Maju,True,20:30:48.317,0.06765,9.19,0.8602
20:30:48.465,20:30:48.532,Maju,Maju,True,20:30:48.533,0.06660,9.15,0.8579
20:30:48.681,20:30:48.750,Maju,Maju,True,20:30:48.751,0.06862,9.10,0.8900
20:30:48.896,20:30:48.964,Maju,Maju,True,20:30:48.964,0.06758,9.39,0.9251
20:30:49.112,20:30:49.182,Maju,Maju,True,20:30:49.182,0.07000,9.31,0.9278
20:30:49.330,20:30:49.397,Maju,Maju,True,20:30:49.397,0.06719,9.22,0.9201
20:30:49.545,20:30:49.614,Maju,Maju,True,20:30:49.614,0.06850,9.28,0.9136
20:30:49.762,20:30:49.830,Maju,Maju,True,20:30:49.830,0.06731,9.29,0.9100
20:30:49.979,20:30:50.049,Maju,Maju,True,20:30:50.049,0.06982,9.22,0.9020
20:30:50.198,20:30:50.267,Maju,Maju,True,20:30:50.268,0.06905,9.17,0.9130
20:30:50.416,20:30:50.484,Maju,Maju,True,20:30:50.485,0.06805,9.20,0.9378
20:30:50.632,20:30:50.700,Maju,Maju,True,20:30:50.700,0.06766,9.28,0.8912
20:30:50.850,20:30:50.918,Maju,Maju,True,20:30:50.919,0.06806,9.17,0.8587
