start_gesture_time,end_gesture_time,gesture_detected,confidence_score,send_time,inference_time,fps,model_name
20:39:08.471,20:39:08.525,Mundur,0.99663,20:39:08.525,0.05331,13.13,gesture_recognition_model_var2.h5
20:39:08.549,20:39:08.601,Mundur,0.99658,20:39:08.601,0.05198,12.85,gesture_recognition_model_var2.h5
20:39:08.627,20:39:08.680,Mundur,0.99657,20:39:08.680,0.05287,12.78,gesture_recognition_model_var2.h5
20:39:08.705,20:39:08.758,Mundur,0.99662,20:39:08.758,0.05256,12.94,gesture_recognition_model_var2.h5
20:39:08.781,20:39:08.834,Mundur,0.99669,20:39:08.834,0.05299,13.06,gesture_recognition_model_var2.h5
20:39:08.859,20:39:08.912,Mundur,0.99672,20:39:08.913,0.05286,12.83,gesture_recognition_model_var2.h5
20:39:08.936,20:39:08.991,Mundur,0.99668,20:39:08.991,0.05499,12.99,gesture_recognition_model_var2.h5
20:39:09.014,20:39:09.070,Mundur,0.99655,20:39:09.070,0.05552,12.75,gesture_recognition_model_var2.h5
20:39:09.092,20:39:09.146,Mundur,0.99612,20:39:09.146,0.05447,12.85,gesture_recognition_model_var2.h5
20:39:09.168,20:39:09.221,Mundur,0.99385,20:39:09.221,0.05286,13.22,gesture_recognition_model_var2.h5
20:39:09.246,20:39:09.299,Mundur,0.97397,20:39:09.299,0.05336,12.91,gesture_recognition_model_var2.h5
20:39:09.322,20:39:09.374,Mundur,0.52443,20:39:09.374,0.05218,13.02,gesture_recognition_model_var2.h5
20:39:09.400,20:39:09.453,Maju,0.67409,20:39:09.453,0.05281,12.94,gesture_recognition_model_var2.h5
20:39:09.477,20:39:09.530,Kanan,0.94958,20:39:09.530,0.05254,12.90,gesture_recognition_model_var2.h5
20:39:09.554,20:39:09.607,Kanan,0.99829,20:39:09.607,0.05306,13.03,gesture_recognition_model_var2.h5
20:39:09.630,20:39:09.683,Kanan,0.99969,20:39:09.683,0.05311,13.18,gesture_recognition_model_var2.h5
20:39:09.708,20:39:09.763,Kanan,0.99974,20:39:09.763,0.05533,12.87,gesture_recognition_model_var2.h5
20:39:09.784,20:39:09.839,Kanan,0.99975,20:39:09.839,0.05419,12.92,gesture_recognition_model_var2.h5
20:39:09.862,20:39:09.914,Kanan,0.99976,20:39:09.915,0.05228,13.01,gesture_recognition_model_var2.h5
20:39:09.940,20:39:09.994,Kanan,0.99976,20:39:09.994,0.05440,12.82,gesture_recognition_model_var2.h5
20:39:10.017,20:39:10.071,Kanan,0.99975,20:39:10.071,0.05454,12.90,gesture_recognition_model_var2.h5
20:39:10.095,20:39:10.149,Kanan,0.99975,20:39:10.149,0.05378,12.84,gesture_recognition_model_var2.h5
20:39:10.172,20:39:10.226,Kanan,0.99969,20:39:10.226,0.05376,12.90,gesture_recognition_model_var2.h5
20:39:10.249,20:39:10.304,Kanan,0.99951,20:39:10.304,0.05450,13.03,gesture_recognition_model_var2.h5
20:39:10.326,20:39:10.379,Kanan,0.97107,20:39:10.379,0.05313,12.96,gesture_recognition_model_var2.h5
20:39:10.450,20:39:10.504,Maju,0.81762,20:39:10.504,0.05364,32.69,gesture_recognition_model_var2.h5
20:39:10.527,20:39:10.580,Kiri,0.93657,20:39:10.581,0.05247,10.80,gesture_recognition_model_var2.h5
20:39:10.604,20:39:10.659,Kiri,0.99535,20:39:10.659,0.05518,13.13,gesture_recognition_model_var2.h5
20:39:10.680,20:39:10.735,Kiri,0.99836,20:39:10.735,0.05525,13.10,gesture_recognition_model_var2.h5
20:39:10.758,20:39:10.812,Kiri,0.99873,20:39:10.812,0.05361,12.72,gesture_recognition_model_var2.h5
20:39:10.835,20:39:10.888,Kiri,0.99878,20:39:10.888,0.05356,12.98,gesture_recognition_model_var2.h5
20:39:10.913,20:39:10.965,Kiri,0.99875,20:39:10.965,0.05212,12.85,gesture_recognition_model_var2.h5
20:39:10.988,20:39:11.043,Kiri,0.99862,20:39:11.043,0.05499,13.11,gesture_recognition_model_var2.h5
20:39:11.068,20:39:11.139,Kiri,0.99857,20:39:11.140,0.07145,13.11,gesture_recognition_model_var2.h5
20:39:11.175,20:39:11.233,Kiri,0.99828,20:39:11.234,0.05775,9.18,gesture_recognition_model_var2.h5
20:39:11.266,20:39:11.321,Kiri,0.99831,20:39:11.321,0.05507,10.94,gesture_recognition_model_var2.h5
20:39:11.341,20:39:11.397,Kiri,0.99839,20:39:11.397,0.05588,13.19,gesture_recognition_model_var2.h5
20:39:11.417,20:39:11.472,Kiri,0.99851,20:39:11.472,0.05445,13.21,gesture_recognition_model_var2.h5
