start_gesture_time,end_gesture_time,gesture_detected,send_time,move_start_time,inference_time,delay,fps
18:39:50.722,18:39:51.059,Maju,18:39:51.059,,0.33700,,31.57
18:39:51.095,18:39:51.149,Maju,18:39:51.149,,0.05384,,2.68
18:39:51.174,18:39:51.228,Maju,18:39:51.228,,0.05373,,12.62
18:39:51.252,18:39:51.305,Maju,18:39:51.305,,0.05348,,12.76
18:39:51.328,18:39:51.379,Maju,18:39:51.379,,0.05193,,13.10
18:39:51.405,18:39:51.457,Maju,18:39:51.457,,0.05191,,13.11
18:39:51.482,18:39:51.533,Maju,18:39:51.533,,0.05152,,12.92
18:39:51.559,18:39:51.614,Maju,18:39:51.614,,0.05489,,12.85
18:39:51.638,18:39:51.691,Maju,18:39:51.691,,0.05312,,12.83
18:39:51.715,18:39:51.768,Maju,18:39:51.768,,0.05346,,12.91
18:39:51.791,18:39:51.845,Maju,18:39:51.845,,0.05420,,13.04
18:39:51.870,18:39:52.051,Maju,18:39:52.051,,0.18087,,12.80
18:39:52.087,18:39:52.137,Maju,18:39:52.138,,0.05058,,4.61
18:39:52.164,18:39:52.215,Kiri,18:39:52.216,,0.05055,,12.85
18:39:52.243,18:39:52.294,Kiri,18:39:52.294,,0.05117,,12.85
18:39:52.319,18:39:52.371,Kiri,18:39:52.371,,0.05201,,12.96
18:39:52.398,18:39:52.449,Kiri,18:39:52.449,,0.05117,,12.76
18:39:52.476,18:39:52.530,Kiri,18:39:52.530,,0.05405,,12.86
18:39:52.554,18:39:52.605,Kiri,18:39:52.605,,0.05197,,12.91
18:39:52.631,18:39:52.682,Kiri,18:39:52.683,,0.05135,,12.88
18:39:52.710,18:39:52.761,Kiri,18:39:52.761,,0.05121,,12.79
18:39:52.787,18:39:52.839,Kiri,18:39:52.839,,0.05187,,12.85
18:39:52.865,18:39:52.917,Kiri,18:39:52.917,,0.05194,,12.87
18:39:52.943,18:39:52.995,Kiri,18:39:52.995,,0.05242,,12.84
18:39:53.021,18:39:53.074,Kiri,18:39:53.074,,0.05311,,12.90
18:39:53.097,18:39:53.149,Kiri,18:39:53.149,,0.05229,,13.03
18:39:53.174,18:39:53.227,Kiri,18:39:53.227,,0.05243,,12.82
18:39:53.253,18:39:53.306,Kiri,18:39:53.306,,0.05325,,12.94
18:39:53.329,18:39:53.379,Kiri,18:39:53.379,,0.05049,,13.03
18:39:53.406,18:39:53.455,Kanan,18:39:53.456,,0.04952,,12.97
18:39:53.485,18:39:53.540,Kanan,18:39:53.540,,0.05527,,12.83
18:39:53.561,18:39:53.615,Kanan,18:39:53.615,,0.05399,,13.10
18:39:53.637,18:39:53.687,Kanan,18:39:53.687,,0.05032,,13.04
18:39:53.714,18:39:53.764,Kanan,18:39:53.764,,0.05091,,12.99
18:39:53.792,18:39:53.843,Kanan,18:39:53.843,,0.05092,,12.91
18:39:53.868,18:39:53.921,Kanan,18:39:53.921,,0.05309,,13.03
18:39:53.947,18:39:54.000,Kanan,18:39:54.000,,0.05327,,12.72
18:39:54.023,18:39:54.075,Kanan,18:39:54.075,,0.05275,,12.99
18:39:54.101,18:39:54.153,Kanan,18:39:54.153,,0.05226,,12.88
18:39:54.179,18:39:54.228,Kanan,18:39:54.228,,0.04967,,12.98
18:39:54.256,18:39:54.307,Mundur,18:39:54.308,,0.05074,,12.72
18:39:54.335,18:39:54.385,Mundur,18:39:54.385,,0.05062,,12.82
18:39:54.412,18:39:54.464,Mundur,18:39:54.464,,0.05253,,12.87
18:39:54.490,18:39:54.541,Mundur,18:39:54.541,,0.05066,,12.97
18:39:54.570,18:39:54.620,Mundur,18:39:54.620,,0.05091,,12.73
18:39:54.647,18:39:54.698,Mundur,18:39:54.698,,0.05086,,12.93
18:39:54.723,18:39:54.774,Mundur,18:39:54.774,,0.05099,,12.98
18:39:54.847,18:39:54.899,Mundur,18:39:54.899,,0.05185,,32.00
18:39:54.925,18:39:54.975,Mundur,18:39:54.975,,0.05090,,10.84
18:39:55.004,18:39:55.056,Mundur,18:39:55.056,,0.05219,,12.71
18:39:55.081,18:39:55.131,Mundur,18:39:55.132,,0.05034,,12.98
18:39:55.158,18:39:55.208,Mundur,18:39:55.208,,0.05002,,12.88
18:39:55.237,18:39:55.288,Mundur,18:39:55.288,,0.05157,,12.68
18:39:55.314,18:39:55.364,Kiri,18:39:55.364,,0.05081,,13.04
18:39:55.391,18:39:55.441,Stop,18:39:55.442,,0.05039,,12.86
18:39:55.468,18:39:55.520,Stop,18:39:55.520,,0.05192,,12.92
18:39:55.548,18:39:55.598,Stop,18:39:55.598,,0.04971,,12.75
18:39:55.624,18:39:55.675,Stop,18:39:55.676,,0.05011,,13.01
18:39:55.700,18:39:55.751,Stop,18:39:55.752,,0.05112,,13.15
18:39:55.778,18:39:55.831,Stop,18:39:55.831,,0.05301,,12.75
18:39:55.857,18:39:55.907,Stop,18:39:55.907,,0.05048,,12.87
18:39:55.935,18:39:55.984,Stop,18:39:55.985,,0.04884,,12.74
18:39:56.011,18:39:56.063,Stop,18:39:56.063,,0.05194,,13.03
18:39:56.089,18:39:56.141,Stop,18:39:56.141,,0.05164,,12.86
18:39:56.167,18:39:56.219,Stop,18:39:56.219,,0.05168,,12.82
18:39:56.245,18:39:56.297,Stop,18:39:56.297,,0.05246,,12.80
18:39:56.322,18:39:56.375,Stop,18:39:56.375,,0.05301,,12.95
18:39:56.398,18:39:56.451,Stop,18:39:56.451,,0.05260,,13.10
18:39:56.478,18:39:56.531,Stop,18:39:56.531,,0.05261,,12.77
18:39:56.555,18:39:56.607,Stop,18:39:56.607,,0.05166,,12.84
18:39:56.632,18:39:56.683,Stop,18:39:56.683,,0.05124,,13.01
18:39:56.709,18:39:56.762,Stop,18:39:56.762,,0.05352,,13.06
18:39:56.786,18:39:56.836,Stop,18:39:56.836,,0.04980,,12.91
18:39:56.864,18:39:56.914,Stop,18:39:56.914,,0.05025,,12.84
18:39:56.940,18:39:56.991,Stop,18:39:56.991,,0.05092,,13.14
18:39:57.017,18:39:57.068,Stop,18:39:57.068,,0.05146,,12.99
18:39:57.094,18:39:57.148,Maju,18:39:57.148,,0.05358,,12.88
18:39:57.174,18:39:57.224,Maju,18:39:57.224,,0.05047,,12.81
18:39:57.251,18:39:57.302,Maju,18:39:57.302,,0.05134,,12.80
18:39:57.328,18:39:57.379,Maju,18:39:57.379,,0.05084,,12.91
18:39:57.406,18:39:57.459,Maju,18:39:57.459,,0.05208,,12.77
18:39:57.483,18:39:57.534,Kiri,18:39:57.535,,0.05150,,13.15
18:39:57.564,18:39:57.619,Kiri,18:39:57.620,,0.05510,,12.80
18:39:57.701,18:39:57.756,Kiri,18:39:57.756,,0.05450,,31.66
18:39:57.779,18:39:57.829,Kiri,18:39:57.830,,0.05008,,10.88
18:39:57.857,18:39:57.907,Kiri,18:39:57.907,,0.05042,,12.89
18:39:57.934,18:39:57.983,Kiri,18:39:57.983,,0.04957,,12.96
18:39:58.011,18:39:58.062,Kiri,18:39:58.062,,0.05048,,12.86
18:39:58.087,18:39:58.139,Kiri,18:39:58.139,,0.05142,,12.98
18:39:58.166,18:39:58.220,Kiri,18:39:58.220,,0.05439,,12.94
18:39:58.243,18:39:58.295,Kanan,18:39:58.296,,0.05240,,12.98
18:39:58.319,18:39:58.370,Kanan,18:39:58.370,,0.05153,,13.08
18:39:58.398,18:39:58.450,Kanan,18:39:58.450,,0.05150,,12.79
18:39:58.474,18:39:58.529,Kanan,18:39:58.529,,0.05422,,12.85
18:39:58.553,18:39:58.605,Kanan,18:39:58.606,,0.05194,,12.79
18:39:58.630,18:39:58.681,Kanan,18:39:58.681,,0.05070,,12.98
18:39:58.708,18:39:58.758,Kanan,18:39:58.758,,0.05036,,12.93
18:39:58.785,18:39:58.834,Mundur,18:39:58.834,,0.04966,,12.95
18:39:58.863,18:39:58.914,Mundur,18:39:58.914,,0.05073,,12.84
18:39:58.941,18:39:58.991,Mundur,18:39:58.992,,0.05024,,12.87
18:39:59.089,18:39:59.139,Mundur,18:39:59.139,,0.04971,,17.68
18:39:59.172,18:39:59.226,Mundur,18:39:59.227,,0.05325,,10.19
18:39:59.248,18:39:59.299,Mundur,18:39:59.299,,0.05108,,13.15
18:39:59.326,18:39:59.377,Mundur,18:39:59.377,,0.05170,,12.91
18:39:59.404,18:39:59.454,Mundur,18:39:59.454,,0.04962,,12.85
18:39:59.482,18:39:59.532,Mundur,18:39:59.532,,0.05036,,12.90
18:39:59.558,18:39:59.609,Mundur,18:39:59.609,,0.05086,,12.97
18:39:59.636,18:39:59.687,Stop,18:39:59.687,,0.05112,,12.90
18:39:59.714,18:39:59.765,Stop,18:39:59.765,,0.05100,,12.86
18:39:59.791,18:39:59.841,Stop,18:39:59.841,,0.04982,,12.84
18:39:59.869,18:39:59.918,Stop,18:39:59.919,,0.04953,,12.90
18:39:59.947,18:39:59.998,Stop,18:39:59.998,,0.05063,,12.78
18:40:00.025,18:40:00.075,Stop,18:40:00.076,,0.05017,,13.01
18:40:00.102,18:40:00.151,Stop,18:40:00.152,,0.04927,,12.90
