start_gesture_time,end_gesture_time,gesture_detected,send_time,move_start_time,inference_time,delay,fps
1746941581.437077,1746941581.772633,Stop,1746941581.772633,1746941581.972633,0.33556,0.200,31.97
1746941581.809395,1746941581.869359,Stop,1746941581.869359,1746941582.069359,0.05996,0.200,2.69
1746941581.902570,1746941581.963405,Stop,1746941581.963405,1746941582.163405,0.06084,0.200,10.70
1746941581.994724,1746941582.053991,Stop,1746941582.053991,1746941582.253991,0.05927,0.200,10.78
1746941582.087125,1746941582.142469,Stop,1746941582.142469,1746941582.342469,0.05534,0.200,10.93
1746941582.164467,1746941582.223227,Stop,1746941582.224288,1746941582.424288,0.05876,0.201,13.00
1746941582.257401,1746941582.313711,Stop,1746941582.313711,1746941582.514722,0.05631,0.201,10.65
1746941582.349496,1746941582.406101,Stop,1746941582.407105,1746941582.607105,0.05661,0.201,10.79
1746941582.442597,1746941582.636909,Stop,1746941582.636909,1746941582.836909,0.19431,0.200,10.81
1746941582.658618,1746941582.717249,Stop,1746941582.717249,1746941582.917249,0.05863,0.200,4.63
1746941582.750817,1746941582.807329,Stop,1746941582.807329,1746941583.007329,0.05651,0.200,10.82
1746941582.842552,1746941582.895374,Stop,1746941582.895374,1746941583.095374,0.05282,0.200,10.84
1746941582.920403,1746941582.972332,Stop,1746941582.972332,1746941583.172332,0.05193,0.200,13.01
1746941582.996993,1746941583.050069,Stop,1746941583.051081,1746941583.251081,0.05308,0.201,13.01
1746941583.072544,1746941583.123381,Stop,1746941583.123381,1746941583.323381,0.05084,0.200,13.12
1746941583.149410,1746941583.202403,Stop,1746941583.203415,1746941583.403415,0.05299,0.201,13.01
1746941583.226900,1746941583.277250,Stop,1746941583.278259,1746941583.478259,0.05035,0.201,12.99
1746941583.302850,1746941583.354710,Stop,1746941583.354710,1746941583.554710,0.05186,0.200,13.09
1746941583.381172,1746941583.432477,Stop,1746941583.432477,1746941583.632477,0.05130,0.200,12.83
1746941583.458257,1746941583.508107,Stop,1746941583.509121,1746941583.709121,0.04985,0.201,13.02
1746941583.534602,1746941583.588032,Stop,1746941583.588032,1746941583.788032,0.05343,0.200,13.06
1746941583.610629,1746941583.661673,Stop,1746941583.662684,1746941583.862684,0.05104,0.201,13.17
1746941583.688750,1746941583.740027,Stop,1746941583.740027,1746941583.940027,0.05128,0.200,12.82
1746941583.765605,1746941583.818077,Stop,1746941583.818077,1746941584.018077,0.05247,0.200,12.98
1746941583.842693,1746941583.893906,Stop,1746941583.893906,1746941584.093906,0.05121,0.200,12.98
1746941583.919514,1746941583.971431,Stop,1746941583.971431,1746941584.171431,0.05192,0.200,13.01
1746941583.994003,1746941584.044569,Stop,1746941584.044569,1746941584.244569,0.05057,0.200,13.25
