start_gesture_time,end_gesture_time,gesture_detected,send_time,move_start_time,inference_time,delay,fps
18:25:15.491,18:25:15.888,Maju,18:25:15.888,18:25:16.088,0.39743,0.200,21.48
18:25:15.925,18:25:15.979,Maju,18:25:15.979,18:25:16.179,0.05395,0.200,2.31
18:25:16.019,18:25:16.071,Maju,18:25:16.071,18:25:16.271,0.05231,0.200,10.65
18:25:16.110,18:25:16.164,Maju,18:25:16.164,18:25:16.364,0.05364,0.200,10.85
18:25:16.202,18:25:16.255,Maju,18:25:16.255,18:25:16.455,0.05221,0.200,10.83
18:25:16.295,18:25:16.349,Maju,18:25:16.349,18:25:16.549,0.05414,0.200,10.90
18:25:16.374,18:25:16.558,Maju,18:25:16.558,18:25:16.758,0.18461,0.200,12.58
18:25:16.590,18:25:16.642,Maju,18:25:16.642,18:25:16.842,0.05244,0.200,4.62
18:25:16.666,18:25:16.718,Maju,18:25:16.719,18:25:16.919,0.05151,0.200,13.17
18:25:16.745,18:25:16.803,Maju,18:25:16.804,18:25:17.004,0.05812,0.200,12.89
18:25:16.836,18:25:16.888,Maju,18:25:16.889,18:25:17.089,0.05183,0.200,10.81
18:25:16.914,18:25:16.966,Maju,18:25:16.966,18:25:17.166,0.05223,0.200,13.00
18:25:16.993,18:25:17.046,Maju,18:25:17.046,18:25:17.246,0.05271,0.200,12.77
18:25:17.069,18:25:17.121,Maju,18:25:17.121,18:25:17.321,0.05218,0.200,12.90
18:25:17.147,18:25:17.200,Maju,18:25:17.201,18:25:17.401,0.05276,0.200,12.81
18:25:17.224,18:25:17.275,Maju,18:25:17.275,18:25:17.475,0.05161,0.200,13.08
18:25:17.301,18:25:17.354,Maju,18:25:17.354,18:25:17.554,0.05307,0.200,12.92
18:25:17.378,18:25:17.435,Maju,18:25:17.435,18:25:17.635,0.05633,0.200,12.99
18:25:17.470,18:25:17.524,Kiri,18:25:17.524,18:25:17.724,0.05342,0.200,10.91
18:25:17.547,18:25:17.598,Kiri,18:25:17.598,18:25:17.798,0.05087,0.200,13.07
18:25:17.623,18:25:17.675,Kiri,18:25:17.676,18:25:17.876,0.05240,0.200,13.09
18:25:17.700,18:25:17.751,Kiri,18:25:17.751,18:25:17.951,0.05076,0.200,13.05
18:25:17.776,18:25:17.827,Kiri,18:25:17.827,18:25:18.027,0.05149,0.200,13.01
18:25:17.855,18:25:17.906,Kiri,18:25:17.906,18:25:18.106,0.05118,0.200,12.77
18:25:17.935,18:25:17.989,Kiri,18:25:17.989,18:25:18.189,0.05386,0.200,12.73
18:25:18.011,18:25:18.065,Kiri,18:25:18.065,18:25:18.265,0.05422,0.200,12.88
18:25:18.089,18:25:18.144,Kiri,18:25:18.144,18:25:18.344,0.05513,0.200,12.93
18:25:18.164,18:25:18.214,Kiri,18:25:18.214,18:25:18.414,0.05084,0.200,13.15
18:25:18.242,18:25:18.293,Kiri,18:25:18.294,18:25:18.494,0.05112,0.200,12.97
18:25:18.320,18:25:18.374,Kiri,18:25:18.374,18:25:18.574,0.05467,0.200,12.76
18:25:18.398,18:25:18.452,Kiri,18:25:18.452,18:25:18.652,0.05407,0.200,12.95
18:25:18.475,18:25:18.529,Kiri,18:25:18.529,18:25:18.729,0.05409,0.200,12.93
18:25:18.551,18:25:18.603,Kiri,18:25:18.603,18:25:18.803,0.05243,0.200,12.99
18:25:18.630,18:25:18.681,Kiri,18:25:18.682,18:25:18.882,0.05111,0.200,12.76
18:25:18.706,18:25:18.756,Kiri,18:25:18.756,18:25:18.956,0.05062,0.200,13.04
18:25:18.785,18:25:18.835,Kiri,18:25:18.835,18:25:19.035,0.05042,0.200,12.82
18:25:18.862,18:25:18.917,Maju,18:25:18.917,18:25:19.117,0.05461,0.200,12.93
