start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps
16:40:10.519,16:40:10.572,Mundur,Mundur,True,16:40:10.572,0.05259,12.98
16:40:10.752,16:40:10.803,Mundur,Mundur,True,16:40:10.804,0.05095,12.91
16:40:10.982,16:40:11.033,Mundur,Mundur,True,16:40:11.033,0.05089,12.92
16:40:11.190,16:40:11.246,Mundur,Mundur,True,16:40:11.246,0.05588,25.93
16:40:11.427,16:40:11.479,Mundur,Mundur,True,16:40:11.479,0.05213,13.09
16:40:11.657,16:40:11.713,Mundur,Mundur,True,16:40:11.714,0.05569,13.15
16:40:11.902,16:40:11.950,Mundur,Mundur,True,16:40:11.951,0.04864,12.90
16:40:12.132,16:40:12.184,Mundur,Mundur,True,16:40:12.184,0.05231,13.00
16:40:12.364,16:40:12.415,Mundur,Mundur,True,16:40:12.415,0.05061,12.83
16:40:12.609,16:40:12.661,Mundur,Mundur,True,16:40:12.661,0.05214,13.15
16:40:12.838,16:40:12.888,Mundur,Mundur,True,16:40:12.888,0.04974,13.12
16:40:13.066,16:40:13.117,Mundur,Mundur,True,16:40:13.117,0.05080,13.20
16:40:13.295,16:40:13.345,Mundur,Mundur,True,16:40:13.345,0.05030,13.04
16:40:13.526,16:40:13.576,Mundur,Mundur,True,16:40:13.576,0.05074,13.14
16:40:13.755,16:40:13.805,Mundur,Mundur,True,16:40:13.806,0.05017,13.14
16:40:13.983,16:40:14.035,Mundur,Mundur,True,16:40:14.035,0.05218,13.16
16:40:14.210,16:40:14.261,Mundur,Mundur,True,16:40:14.261,0.05119,13.16
16:40:14.441,16:40:14.491,Mundur,Mundur,True,16:40:14.491,0.05072,13.07
16:40:14.670,16:40:14.722,Mundur,Mundur,True,16:40:14.722,0.05203,13.03
16:40:14.900,16:40:14.949,Mundur,Mundur,True,16:40:14.949,0.04879,13.06
16:40:15.129,16:40:15.182,Mundur,Mundur,True,16:40:15.182,0.05323,13.06
16:40:15.358,16:40:15.409,Mundur,Mundur,True,16:40:15.409,0.05086,13.14
16:40:15.587,16:40:15.639,Mundur,Mundur,True,16:40:15.640,0.05128,13.02
16:40:15.817,16:40:15.867,Mundur,Mundur,True,16:40:15.868,0.04982,13.13
16:40:16.046,16:40:16.095,Mundur,Mundur,True,16:40:16.096,0.04918,13.05
16:40:16.279,16:40:16.331,Mundur,Mundur,True,16:40:16.331,0.05232,15.75
16:40:16.569,16:40:16.619,Mundur,Mundur,True,16:40:16.620,0.05023,32.84
16:40:16.798,16:40:16.847,Mundur,Mundur,True,16:40:16.848,0.04864,12.95
16:40:20.932,16:40:20.986,Kanan,Kanan,True,16:40:20.986,0.05391,13.07
16:40:21.162,16:40:21.213,Kanan,Kanan,True,16:40:21.213,0.05125,13.12
16:40:21.392,16:40:21.442,Kanan,Kanan,True,16:40:21.442,0.05014,13.14
16:40:21.621,16:40:21.675,Kanan,Kanan,True,16:40:21.675,0.05329,12.99
16:40:21.851,16:40:21.905,Kanan,Kanan,True,16:40:21.905,0.05477,13.18
16:40:22.079,16:40:22.129,Kanan,Kanan,True,16:40:22.130,0.04973,13.14
16:40:22.309,16:40:22.361,Kanan,Kanan,True,16:40:22.362,0.05226,13.06
16:40:22.539,16:40:22.590,Kanan,Kanan,True,16:40:22.590,0.05075,13.04
16:40:22.768,16:40:22.819,Kanan,Kanan,True,16:40:22.819,0.05103,13.07
16:40:22.999,16:40:23.049,Kanan,Kanan,True,16:40:23.049,0.04988,12.99
16:40:23.230,16:40:23.280,Kanan,Kanan,True,16:40:23.281,0.05017,13.13
16:40:23.458,16:40:23.509,Kanan,Kanan,True,16:40:23.510,0.05090,13.12
