start_gesture_time,end_gesture_time,gesture_detected,send_time,inference_time,fps
15:46:39.799,15:46:40.271,Stop,15:46:40.271,0.47206,21.12
15:46:40.326,15:46:40.404,Stop,15:46:40.404,0.07798,1.90
15:46:40.446,15:46:40.521,Stop,15:46:40.521,0.07529,8.22
15:46:40.568,15:46:40.645,Stop,15:46:40.645,0.07645,8.16
15:46:40.695,15:46:40.772,Stop,15:46:40.772,0.07632,8.08
15:46:40.817,15:46:41.042,Stop,15:46:41.042,0.22504,8.05
15:46:41.080,15:46:41.155,Stop,15:46:41.156,0.07506,3.78
15:46:41.189,15:46:41.263,Kiri,15:46:41.263,0.07390,9.16
15:46:41.300,15:46:41.382,Kiri,15:46:41.382,0.08178,9.24
15:46:41.422,15:46:41.500,Kiri,15:46:41.501,0.07874,8.13
15:46:41.528,15:46:41.603,Kiri,15:46:41.603,0.07532,9.33
15:46:41.637,15:46:41.710,Kiri,15:46:41.710,0.07325,9.21
15:46:41.745,15:46:41.820,Kiri,15:46:41.820,0.07476,9.24
15:46:41.857,15:46:41.930,Kiri,15:46:41.930,0.07307,9.17
15:46:41.964,15:46:42.039,Kiri,15:46:42.039,0.07495,9.07
15:46:42.076,15:46:42.149,Kiri,15:46:42.149,0.07302,9.20
15:46:42.181,15:46:42.254,Maju,15:46:42.254,0.07268,9.25
15:46:42.289,15:46:42.363,Kanan,15:46:42.364,0.07476,9.30
15:46:42.397,15:46:42.472,Kanan,15:46:42.472,0.07510,9.23
15:46:42.505,15:46:42.578,Kanan,15:46:42.578,0.07325,9.24
15:46:42.614,15:46:42.687,Kanan,15:46:42.688,0.07297,9.11
15:46:42.722,15:46:42.794,Kanan,15:46:42.794,0.07128,9.31
15:46:42.820,15:46:42.891,Kanan,15:46:42.891,0.07121,10.32
15:46:42.925,15:46:42.998,Mundur,15:46:42.998,0.07290,9.45
15:46:43.034,15:46:43.108,Mundur,15:46:43.108,0.07446,9.18
15:46:43.142,15:46:43.215,Mundur,15:46:43.216,0.07285,9.20
15:46:43.251,15:46:43.324,Mundur,15:46:43.324,0.07337,9.22
15:46:43.358,15:46:43.430,Mundur,15:46:43.430,0.07124,9.30
15:46:43.466,15:46:43.539,Mundur,15:46:43.539,0.07327,9.24
15:46:43.576,15:46:43.651,Mundur,15:46:43.651,0.07569,9.10
15:46:43.685,15:46:43.757,Mundur,15:46:43.758,0.07270,9.24
15:46:43.794,15:46:43.871,Mundur,15:46:43.871,0.07726,9.17
15:46:43.903,15:46:43.977,Mundur,15:46:43.977,0.07409,9.18
15:46:44.010,15:46:44.083,Mundur,15:46:44.083,0.07222,9.29
15:46:44.119,15:46:44.191,Stop,15:46:44.191,0.07110,9.22
15:46:44.227,15:46:44.298,Stop,15:46:44.298,0.07119,9.26
15:46:44.336,15:46:44.409,Stop,15:46:44.409,0.07286,9.17
15:46:44.449,15:46:44.522,Stop,15:46:44.522,0.07298,8.88
15:46:44.554,15:46:44.634,Stop,15:46:44.635,0.08036,9.60
15:46:44.663,15:46:44.737,Stop,15:46:44.737,0.07330,9.22
15:46:44.771,15:46:44.843,Stop,15:46:44.843,0.07217,9.20
15:46:44.880,15:46:44.957,Stop,15:46:44.957,0.07663,9.13
15:46:44.987,15:46:45.059,Stop,15:46:45.060,0.07242,9.34
