start_gesture_time,end_gesture_time,gesture_detected,send_time,inference_time,fps
19:26:58.099,19:26:58.158,Kiri,19:26:58.158,0.05873,12.74
19:26:58.190,19:26:58.248,Kiri,19:26:58.248,0.05826,10.80
19:26:58.283,19:26:58.338,Mundur,19:26:58.338,0.05486,10.81
19:26:58.408,19:26:58.462,Mundur,19:26:58.462,0.05392,33.03
19:26:58.484,19:26:58.540,Mundur,19:26:58.541,0.05620,10.77
19:26:58.562,19:26:58.618,Mundur,19:26:58.618,0.05635,12.98
19:26:58.639,19:26:58.695,Mundur,19:26:58.695,0.05594,12.91
19:26:58.718,19:26:58.775,Mundur,19:26:58.775,0.05700,12.78
19:26:58.812,19:26:58.877,Mundur,19:26:58.877,0.06497,10.69
19:26:58.905,19:26:58.993,Mundur,19:26:58.993,0.08724,10.72
19:26:59.031,19:26:59.125,Mundur,19:26:59.125,0.09460,8.09
19:26:59.156,19:26:59.228,Mundur,19:26:59.228,0.07262,8.01
19:26:59.262,19:26:59.325,Maju,19:26:59.325,0.06353,9.23
19:26:59.355,19:26:59.416,Maju,19:26:59.417,0.06081,10.73
19:26:59.447,19:26:59.505,Maju,19:26:59.505,0.05798,10.76
19:26:59.540,19:26:59.596,Maju,19:26:59.596,0.05605,10.77
19:26:59.618,19:26:59.675,Maju,19:26:59.675,0.05689,12.87
19:26:59.695,19:26:59.751,Maju,19:26:59.752,0.05523,12.77
19:26:59.775,19:26:59.830,Maju,19:26:59.830,0.05420,12.66
19:26:59.853,19:26:59.911,Maju,19:26:59.911,0.05717,12.66
19:26:59.932,19:26:59.989,Kiri,19:26:59.989,0.05659,12.84
19:27:00.025,19:27:00.078,Kiri,19:27:00.078,0.05353,10.73
19:27:00.102,19:27:00.157,Kiri,19:27:00.157,0.05531,12.87
19:27:00.179,19:27:00.232,Kiri,19:27:00.232,0.05283,12.99
19:27:00.256,19:27:00.308,Kiri,19:27:00.308,0.05194,13.02
19:27:00.332,19:27:00.382,Kiri,19:27:00.383,0.04951,12.97
19:27:00.409,19:27:00.459,Kiri,19:27:00.460,0.04961,13.17
19:27:00.486,19:27:00.538,Kiri,19:27:00.538,0.05188,12.90
19:27:00.564,19:27:00.615,Kiri,19:27:00.615,0.05068,12.94
19:27:00.640,19:27:00.690,Kiri,19:27:00.690,0.04978,13.03
19:27:00.718,19:27:00.767,Kanan,19:27:00.768,0.04945,12.83
19:27:00.794,19:27:00.844,Kanan,19:27:00.844,0.05019,13.13
19:27:00.871,19:27:00.925,Kanan,19:27:00.925,0.05412,13.01
19:27:00.951,19:27:01.010,Kanan,19:27:01.010,0.05900,12.62
19:27:01.043,19:27:01.092,Mundur,19:27:01.092,0.04905,10.77
19:27:01.120,19:27:01.172,Mundur,19:27:01.172,0.05127,12.85
19:27:01.198,19:27:01.247,Mundur,19:27:01.248,0.04903,13.05
19:27:01.275,19:27:01.326,Mundur,19:27:01.326,0.05058,12.85
19:27:01.398,19:27:01.448,Mundur,19:27:01.448,0.04996,33.45
19:27:01.474,19:27:01.524,Mundur,19:27:01.524,0.04956,10.96
19:27:01.551,19:27:01.601,Mundur,19:27:01.601,0.04997,12.90
19:27:01.628,19:27:01.678,Mundur,19:27:01.678,0.04955,13.15
19:27:01.705,19:27:01.754,Mundur,19:27:01.754,0.04955,13.04
19:27:01.783,19:27:01.830,Mundur,19:27:01.831,0.04749,12.74
19:27:01.860,19:27:01.913,Mundur,19:27:01.913,0.05288,12.82
19:27:01.938,19:27:01.997,Mundur,19:27:01.997,0.05874,13.05
19:27:02.032,19:27:02.083,Stop,19:27:02.083,0.05051,10.56
19:27:02.110,19:27:02.160,Stop,19:27:02.160,0.05013,12.92
19:27:02.186,19:27:02.236,Stop,19:27:02.236,0.04984,13.02
19:27:02.264,19:27:02.313,Stop,19:27:02.313,0.04906,12.88
19:27:02.343,19:27:02.393,Stop,19:27:02.393,0.05054,12.73
19:27:02.422,19:27:02.470,Stop,19:27:02.472,0.04872,12.81
