start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps
16:30:36.708,16:30:37.025,Stop,N/A,N/A,16:30:37.025,0.31651,32.77
16:30:37.093,16:30:37.143,Stop,N/A,N/A,16:30:37.144,0.05002,32.42
16:30:37.169,16:30:37.221,Kiri,N/A,N/A,16:30:37.221,0.05173,10.79
16:30:37.787,16:30:37.840,Kiri,N/A,N/A,16:30:37.840,0.05287,21.56
16:30:37.910,16:30:37.961,Kiri,N/A,N/A,16:30:37.961,0.05122,32.11
16:30:37.986,16:30:38.040,Kiri,N/A,N/A,16:30:38.040,0.05337,10.86
16:30:38.062,16:30:38.116,Kiri,N/A,N/A,16:30:38.116,0.05387,13.03
16:30:38.139,16:30:38.320,Kiri,N/A,N/A,16:30:38.320,0.18050,13.11
16:30:38.403,16:30:38.454,Kiri,N/A,N/A,16:30:38.454,0.05110,31.74
16:30:38.571,16:30:38.626,Kiri,N/A,N/A,16:30:38.626,0.05532,22.88
16:30:52.286,16:30:52.337,Kiri,N/A,False,16:30:52.337,0.05071,16.21
16:30:52.375,16:30:52.429,Kiri,N/A,N/A,16:30:52.429,0.05415,9.38
16:30:52.467,16:30:52.521,Kiri,N/A,N/A,16:30:52.521,0.05375,10.89
16:30:52.561,16:30:52.611,Kiri,N/A,N/A,16:30:52.611,0.04973,10.78
16:30:52.652,16:30:52.704,Kiri,N/A,N/A,16:30:52.704,0.05234,10.98
16:30:52.743,16:30:52.795,Kiri,N/A,N/A,16:30:52.795,0.05170,10.87
16:30:52.836,16:30:52.887,Kiri,N/A,N/A,16:30:52.887,0.05125,10.83
16:30:52.927,16:30:52.984,Kanan,N/A,N/A,16:30:52.984,0.05616,10.90
16:30:53.019,16:30:53.078,Kanan,N/A,N/A,16:30:53.078,0.05837,10.85
16:30:53.129,16:30:53.186,Kanan,N/A,N/A,16:30:53.186,0.05668,9.32
16:30:53.235,16:30:53.290,Kanan,N/A,N/A,16:30:53.291,0.05510,9.21
16:30:53.328,16:30:53.382,Kanan,N/A,N/A,16:30:53.382,0.05380,10.78
16:30:53.421,16:30:53.481,Kanan,N/A,N/A,16:30:53.481,0.05999,10.81
16:30:53.528,16:30:53.578,Kanan,N/A,N/A,16:30:53.578,0.04981,9.27
16:30:53.621,16:30:53.673,Kanan,N/A,N/A,16:30:53.673,0.05231,10.90
16:30:53.713,16:30:53.766,Kanan,N/A,N/A,16:30:53.766,0.05330,10.82
16:30:53.804,16:30:53.857,Kanan,N/A,N/A,16:30:53.857,0.05230,10.81
16:30:53.897,16:30:53.949,Kanan,N/A,N/A,16:30:53.949,0.05236,10.87
16:30:53.989,16:30:54.040,Kanan,N/A,N/A,16:30:54.041,0.05082,10.86
16:30:54.082,16:30:54.134,Kanan,N/A,N/A,16:30:54.134,0.05178,10.77
