start_gesture_time,end_gesture_time,gesture_detected,send_time,inference_time,fps
18:42:00.750,18:42:00.973,Stop,18:42:00.973,0.22340,32.01
18:42:00.997,18:42:01.051,Stop,18:42:01.051,0.05393,4.06
18:42:01.075,18:42:01.128,Stop,18:42:01.128,0.05305,12.89
18:42:01.152,18:42:01.203,Stop,18:42:01.204,0.05081,12.95
18:42:01.228,18:42:01.283,Stop,18:42:01.283,0.05482,13.02
18:42:01.305,18:42:01.358,Stop,18:42:01.358,0.05353,13.03
18:42:01.382,18:42:01.433,Stop,18:42:01.433,0.05191,12.92
18:42:01.509,18:42:01.561,Stop,18:42:01.561,0.05137,30.86
18:42:01.586,18:42:01.636,Stop,18:42:01.636,0.04997,10.83
18:42:01.662,18:42:01.713,Stop,18:42:01.713,0.05106,13.00
18:42:01.740,18:42:01.794,Stop,18:42:01.794,0.05357,12.83
18:42:01.818,18:42:01.995,Kiri,18:42:01.995,0.17767,12.78
18:42:02.019,18:42:02.070,Kiri,18:42:02.070,0.05037,4.98
18:42:02.098,18:42:02.150,Kiri,18:42:02.150,0.05140,12.59
18:42:02.172,18:42:02.223,Kiri,18:42:02.223,0.05097,13.36
18:42:02.252,18:42:02.308,Kiri,18:42:02.308,0.05532,12.89
18:42:02.341,18:42:02.391,Kiri,18:42:02.391,0.04939,10.96
18:42:02.421,18:42:02.469,Kiri,18:42:02.469,0.04845,12.73
18:42:02.498,18:42:02.553,Kiri,18:42:02.553,0.05479,12.83
18:42:02.576,18:42:02.627,Kiri,18:42:02.627,0.05122,13.07
18:42:02.651,18:42:02.701,Kiri,18:42:02.701,0.05015,13.01
18:42:02.730,18:42:02.782,Kiri,18:42:02.783,0.05169,12.69
18:42:02.808,18:42:02.860,Kanan,18:42:02.860,0.05186,12.91
18:42:02.886,18:42:02.937,Kanan,18:42:02.937,0.05141,12.91
18:42:02.964,18:42:03.015,Kanan,18:42:03.015,0.05156,12.77
18:42:03.041,18:42:03.092,Kanan,18:42:03.092,0.05103,12.86
18:42:03.119,18:42:03.168,Kanan,18:42:03.169,0.04944,12.99
18:42:03.196,18:42:03.249,Kanan,18:42:03.249,0.05254,12.78
18:42:03.275,18:42:03.325,Kanan,18:42:03.325,0.05087,12.76
18:42:03.353,18:42:03.404,Kiri,18:42:03.404,0.05078,12.73
18:42:03.430,18:42:03.480,Kiri,18:42:03.480,0.05066,13.09
18:42:03.508,18:42:03.561,Kiri,18:42:03.561,0.05274,12.87
18:42:03.585,18:42:03.637,Mundur,18:42:03.637,0.05205,13.01
18:42:03.662,18:42:03.712,Mundur,18:42:03.712,0.04992,13.03
18:42:03.787,18:42:03.839,Mundur,18:42:03.839,0.05192,32.03
18:42:03.864,18:42:03.914,Mundur,18:42:03.915,0.05017,10.81
18:42:03.943,18:42:03.994,Mundur,18:42:03.994,0.05144,12.71
18:42:04.020,18:42:04.070,Mundur,18:42:04.071,0.04946,12.90
18:42:04.099,18:42:04.150,Mundur,18:42:04.150,0.05128,12.80
18:42:04.175,18:42:04.226,Mundur,18:42:04.226,0.05136,13.04
18:42:04.253,18:42:04.304,Mundur,18:42:04.304,0.05026,12.77
18:42:04.331,18:42:04.382,Kiri,18:42:04.382,0.05130,13.02
18:42:04.407,18:42:04.457,Kiri,18:42:04.458,0.04978,12.96
18:42:04.485,18:42:04.536,Maju,18:42:04.536,0.05051,12.86
