start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps
16:37:23.824,16:37:24.237,Maju,Maju,True,16:37:24.238,0.41247,32.16
16:37:24.378,16:37:24.440,Stop,Maju,False,16:37:24.440,0.06145,9.45
16:37:24.565,16:37:24.760,Stop,Maju,False,16:37:24.760,0.19458,10.79
16:37:24.979,16:37:25.034,Stop,Maju,False,16:37:25.034,0.05532,10.87
16:37:25.217,16:37:25.269,Stop,Maju,False,16:37:25.269,0.05232,13.44
16:37:25.455,16:37:25.508,Stop,Maju,False,16:37:25.509,0.05239,12.96
16:37:25.686,16:37:25.739,Stop,Maju,False,16:37:25.740,0.05292,12.79
16:37:25.917,16:37:25.969,Stop,Maju,False,16:37:25.970,0.05223,13.05
16:37:26.144,16:37:26.194,Stop,Maju,False,16:37:26.195,0.04968,13.04
16:37:26.375,16:37:26.426,Stop,Maju,False,16:37:26.426,0.05101,13.14
16:37:26.603,16:37:26.658,Maju,Maju,True,16:37:26.658,0.05477,13.15
16:37:26.833,16:37:26.883,Maju,Maju,True,16:37:26.883,0.04973,13.15
16:37:27.062,16:37:27.112,Maju,Maju,True,16:37:27.112,0.04993,13.05
16:37:27.292,16:37:27.343,Maju,Maju,True,16:37:27.343,0.05071,13.11
16:37:27.521,16:37:27.574,Maju,Maju,True,16:37:27.574,0.05270,12.99
16:37:27.750,16:37:27.801,Maju,Maju,True,16:37:27.801,0.05132,13.05
16:37:27.979,16:37:28.029,Maju,Maju,True,16:37:28.029,0.05018,13.06
16:37:28.210,16:37:28.263,Maju,Maju,True,16:37:28.263,0.05273,13.07
16:37:28.438,16:37:28.491,Maju,Maju,True,16:37:28.491,0.05284,12.95
16:37:28.666,16:37:28.720,Maju,Maju,True,16:37:28.720,0.05311,13.04
16:37:28.898,16:37:28.948,Maju,Maju,True,16:37:28.948,0.05022,12.96
16:37:29.127,16:37:29.179,Maju,Maju,True,16:37:29.179,0.05177,13.22
16:37:29.356,16:37:29.410,Maju,Maju,True,16:37:29.410,0.05424,13.13
16:37:29.587,16:37:29.639,Maju,Maju,True,16:37:29.639,0.05230,13.11
16:37:29.818,16:37:29.869,Maju,Maju,True,16:37:29.869,0.05118,12.90
16:37:30.048,16:37:30.097,Maju,Maju,True,16:37:30.098,0.04959,13.14
16:37:30.278,16:37:30.332,Maju,Maju,True,16:37:30.333,0.05384,13.15
16:37:30.509,16:37:30.559,Maju,Maju,True,16:37:30.560,0.04971,13.05
16:37:30.739,16:37:30.791,Maju,Maju,True,16:37:30.791,0.05174,12.89
16:37:30.970,16:37:31.019,Maju,Maju,True,16:37:31.019,0.04960,13.06
16:37:31.200,16:37:31.252,Maju,Maju,True,16:37:31.253,0.05150,13.08
16:37:31.431,16:37:31.483,Maju,Maju,True,16:37:31.483,0.05168,12.81
16:37:31.662,16:37:31.714,Maju,Maju,True,16:37:31.714,0.05171,12.98
16:37:31.892,16:37:31.943,Maju,Maju,True,16:37:31.943,0.05075,13.10
16:37:32.124,16:37:32.175,Maju,Maju,True,16:37:32.175,0.05114,12.98
16:37:32.356,16:37:32.408,Maju,Maju,True,16:37:32.409,0.05203,13.04
16:37:32.586,16:37:32.637,Maju,Maju,True,16:37:32.638,0.05057,13.13
16:37:32.815,16:37:32.864,Maju,Maju,True,16:37:32.865,0.04916,13.15
16:37:33.047,16:37:33.099,Maju,Maju,True,16:37:33.099,0.05170,12.89
16:37:33.278,16:37:33.328,Maju,Maju,True,16:37:33.328,0.05022,13.04
16:37:33.507,16:37:33.556,Maju,Maju,True,16:37:33.556,0.04923,13.24
16:37:33.737,16:37:33.787,Maju,Maju,True,16:37:33.787,0.05006,13.00
16:37:33.968,16:37:34.021,Maju,Maju,True,16:37:34.021,0.05269,13.09
16:37:34.198,16:37:34.251,Maju,Maju,True,16:37:34.251,0.05326,13.08
16:37:34.427,16:37:34.479,Maju,Maju,True,16:37:34.479,0.05186,13.21
16:37:34.658,16:37:34.711,Maju,Maju,True,16:37:34.711,0.05240,13.03
16:37:34.889,16:37:34.941,Maju,Maju,True,16:37:34.942,0.05282,12.97
16:37:35.119,16:37:35.170,Maju,Maju,True,16:37:35.170,0.05073,13.07
16:37:35.347,16:37:35.395,Maju,Maju,True,16:37:35.396,0.04792,13.08
16:37:35.576,16:37:35.628,Maju,Maju,True,16:37:35.628,0.05217,13.13
16:37:39.699,16:37:39.759,Mundur,Mundur,True,16:37:39.759,0.06074,10.95
16:37:39.942,16:37:39.993,Mundur,Mundur,True,16:37:39.993,0.05026,13.14
16:37:40.172,16:37:40.224,Mundur,Mundur,True,16:37:40.224,0.05175,13.15
16:37:40.402,16:37:40.452,Mundur,Mundur,True,16:37:40.453,0.04969,13.13
16:37:40.632,16:37:40.685,Mundur,Mundur,True,16:37:40.685,0.05278,12.98
16:37:40.862,16:37:40.914,Mundur,Mundur,True,16:37:40.914,0.05125,13.13
16:37:41.093,16:37:41.142,Mundur,Mundur,True,16:37:41.142,0.04896,13.05
16:37:41.322,16:37:41.374,Mundur,Mundur,True,16:37:41.374,0.05132,13.04
16:37:41.552,16:37:41.602,Mundur,Mundur,True,16:37:41.602,0.05007,13.15
16:37:41.782,16:37:41.835,Mundur,Mundur,True,16:37:41.836,0.05275,12.87
16:37:42.011,16:37:42.061,Mundur,Mundur,True,16:37:42.062,0.05073,13.06
16:37:42.240,16:37:42.290,Mundur,Mundur,True,16:37:42.291,0.05021,13.13
16:37:42.469,16:37:42.517,Mundur,Mundur,True,16:37:42.518,0.04813,13.13
16:37:42.700,16:37:42.749,Mundur,Mundur,True,16:37:42.750,0.04970,12.95
16:37:42.928,16:37:42.977,Mundur,Mundur,True,16:37:42.977,0.04914,13.13
16:37:43.158,16:37:43.208,Mundur,Mundur,True,16:37:43.208,0.05020,13.00
16:37:43.387,16:37:43.439,Mundur,Mundur,True,16:37:43.439,0.05138,13.06
16:37:43.618,16:37:43.670,Mundur,Mundur,True,16:37:43.670,0.05167,13.14
16:37:43.848,16:37:43.899,Mundur,Mundur,True,16:37:43.899,0.05051,13.05
16:37:44.079,16:37:44.129,Mundur,Mundur,True,16:37:44.129,0.05017,12.84
16:37:44.309,16:37:44.357,Mundur,Mundur,True,16:37:44.357,0.04842,13.03
16:37:44.538,16:37:44.588,Mundur,Mundur,True,16:37:44.589,0.04971,13.13
16:37:44.767,16:37:44.821,Mundur,Mundur,True,16:37:44.821,0.05389,13.06
16:37:44.999,16:37:45.048,Mundur,Mundur,True,16:37:45.048,0.04978,12.98
16:37:45.228,16:37:45.278,Mundur,Mundur,True,16:37:45.278,0.04998,13.13
16:37:45.457,16:37:45.507,Mundur,Mundur,True,16:37:45.507,0.05018,13.34
16:37:45.687,16:37:45.738,Mundur,Mundur,True,16:37:45.738,0.05100,13.12
16:37:45.916,16:37:45.967,Mundur,Mundur,True,16:37:45.967,0.05069,13.03
16:37:46.147,16:37:46.198,Mundur,Mundur,True,16:37:46.198,0.05177,13.05
16:37:46.377,16:37:46.426,Mundur,Mundur,True,16:37:46.427,0.04899,13.07
16:37:46.607,16:37:46.659,Mundur,Mundur,True,16:37:46.659,0.05218,13.04
16:37:46.836,16:37:46.886,Mundur,Mundur,True,16:37:46.887,0.04972,13.11
16:37:47.066,16:37:47.117,Mundur,Mundur,True,16:37:47.118,0.05070,13.04
16:37:47.296,16:37:47.348,Mundur,Mundur,True,16:37:47.348,0.05169,13.00
16:37:47.523,16:37:47.572,Mundur,Mundur,True,16:37:47.573,0.04958,13.14
16:37:47.752,16:37:47.803,Mundur,Mundur,True,16:37:47.804,0.05087,13.15
16:37:47.982,16:37:48.032,Mundur,Mundur,True,16:37:48.032,0.04967,13.07
16:37:48.211,16:37:48.263,Mundur,Mundur,True,16:37:48.264,0.05178,13.13
16:37:48.441,16:37:48.492,Mundur,Mundur,True,16:37:48.492,0.05073,12.97
16:37:48.670,16:37:48.722,Mundur,Mundur,True,16:37:48.724,0.05201,13.22
16:37:48.900,16:37:48.950,Mundur,Mundur,True,16:37:48.950,0.05012,13.01
16:37:49.130,16:37:49.181,Mundur,Mundur,True,16:37:49.181,0.05073,13.18
16:37:49.360,16:37:49.410,Mundur,Mundur,True,16:37:49.410,0.04964,12.91
16:37:49.589,16:37:49.639,Mundur,Mundur,True,16:37:49.639,0.04973,12.99
16:37:49.817,16:37:49.868,Mundur,Mundur,True,16:37:49.869,0.05082,13.22
16:37:50.049,16:37:50.099,Mundur,Mundur,True,16:37:50.099,0.04981,13.05
16:37:50.281,16:37:50.333,Mundur,Mundur,True,16:37:50.333,0.05183,12.70
16:37:50.509,16:37:50.559,Mundur,Mundur,True,16:37:50.560,0.05014,13.12
16:37:50.742,16:37:50.793,Mundur,Mundur,True,16:37:50.793,0.05043,12.89
16:37:50.972,16:37:51.022,Mundur,Mundur,True,16:37:51.023,0.04969,13.07
16:37:55.077,16:37:55.132,Kanan,Kanan,True,16:37:55.132,0.05448,10.87
16:37:55.307,16:37:55.357,Kanan,Kanan,True,16:37:55.358,0.04922,13.03
16:37:55.537,16:37:55.587,Kanan,Kanan,True,16:37:55.587,0.04957,12.96
16:37:55.768,16:37:55.818,Kanan,Kanan,True,16:37:55.819,0.04974,13.13
16:37:55.999,16:37:56.048,Kanan,Kanan,True,16:37:56.049,0.04865,13.03
