start_gesture_time,end_gesture_time,gesture_detected,send_time,move_start_time,inference_time,delay,fps
18:32:06.241,18:32:06.297,Mundur,18:32:06.298,18:32:06.298,0.05570,0.001,31.68
18:32:07.426,18:32:07.476,Maju,18:32:07.477,18:32:07.477,0.04943,0.001,32.60
18:32:07.505,18:32:07.557,Maju,18:32:07.558,18:32:07.558,0.05211,0.001,10.63
18:32:08.052,18:32:08.101,Kiri,18:32:08.103,18:32:08.103,0.04989,0.001,12.77
18:32:08.514,18:32:08.562,Kiri,18:32:08.564,18:32:08.564,0.04863,0.001,13.07
18:32:08.822,18:32:08.872,Kiri,18:32:08.873,18:32:08.873,0.05080,0.001,13.09
18:32:10.372,18:32:10.423,Kiri,18:32:10.424,18:32:10.424,0.05081,0.001,12.74
18:32:10.758,18:32:10.808,Kiri,18:32:10.809,18:32:10.809,0.04984,0.001,13.12
18:32:10.914,18:32:10.966,Kiri,18:32:10.967,18:32:10.967,0.05161,0.001,12.98
18:32:11.503,18:32:11.556,Kanan,18:32:11.557,18:32:11.557,0.05292,0.001,10.73
18:32:12.988,18:32:13.037,Mundur,18:32:13.037,18:32:13.037,0.04923,0.001,33.54
18:32:13.220,18:32:13.268,Mundur,18:32:13.269,18:32:13.269,0.04848,0.001,12.95
