start_gesture_time,end_gesture_time,gesture_detected,send_time,move_start_time,inference_time,delay,fps
13:01:59.869,13:02:00.163,Maju,13:02:00.163,13:02:00.363,0.29393,0.200,32.62
13:02:00.193,13:02:00.246,Maju,13:02:00.246,13:02:00.446,0.05244,0.200,3.09
13:02:00.270,13:02:00.322,Maju,13:02:00.322,13:02:00.522,0.05226,0.200,13.01
13:02:00.347,13:02:00.528,Maju,13:02:00.528,13:02:00.728,0.18077,0.200,12.99
13:02:00.563,13:02:00.614,Maju,13:02:00.614,13:02:00.814,0.05094,0.200,4.61
13:02:00.641,13:02:00.694,Maju,13:02:00.694,13:02:00.894,0.05298,0.200,13.06
13:02:00.719,13:02:00.770,Maju,13:02:00.771,13:02:00.971,0.05134,0.201,12.74
13:02:00.794,13:02:00.848,Maju,13:02:00.848,13:02:01.048,0.05406,0.200,13.04
13:02:00.873,13:02:00.926,Maju,13:02:00.926,13:02:01.126,0.05298,0.200,12.93
13:02:00.950,13:02:01.002,Maju,13:02:01.002,13:02:01.202,0.05246,0.200,13.00
13:02:01.026,13:02:01.079,Maju,13:02:01.080,13:02:01.280,0.05229,0.201,13.02
13:02:01.104,13:02:01.156,Maju,13:02:01.156,13:02:01.356,0.05247,0.200,12.98
13:02:01.180,13:02:01.232,Maju,13:02:01.232,13:02:01.432,0.05191,0.200,12.92
13:02:01.259,13:02:01.312,Maju,13:02:01.312,13:02:01.512,0.05302,0.200,12.82
13:02:01.336,13:02:01.388,Maju,13:02:01.388,13:02:01.588,0.05163,0.200,12.86
13:02:01.413,13:02:01.467,Maju,13:02:01.467,13:02:01.667,0.05397,0.200,13.00
13:02:01.491,13:02:01.542,Maju,13:02:01.542,13:02:01.742,0.05084,0.200,12.82
13:02:01.570,13:02:01.620,Maju,13:02:01.620,13:02:01.820,0.05052,0.200,12.81
13:02:01.645,13:02:01.697,Kiri,13:02:01.698,13:02:01.898,0.05201,0.201,13.19
13:02:01.724,13:02:01.775,Kiri,13:02:01.775,13:02:01.975,0.05031,0.200,12.86
13:02:01.800,13:02:01.853,Kiri,13:02:01.854,13:02:02.054,0.05261,0.201,12.97
13:02:01.879,13:02:01.939,Kiri,13:02:01.939,13:02:02.139,0.06005,0.200,12.93
13:02:01.971,13:02:02.021,Kiri,13:02:02.021,13:02:02.221,0.05041,0.200,10.71
13:02:02.048,13:02:02.101,Kiri,13:02:02.101,13:02:02.301,0.05287,0.200,12.98
13:02:02.125,13:02:02.177,Kiri,13:02:02.177,13:02:02.377,0.05181,0.200,13.04
