start_gesture_time,end_gesture_time,gesture_detected,send_time,inference_time,fps
19:53:29.066,19:53:29.887,Stop,19:53:29.887,0.82096,22.91
19:53:30.005,19:53:30.104,Stop,19:53:30.104,0.09945,21.65
19:53:30.146,19:53:30.406,Stop,19:53:30.406,0.26074,5.94
19:53:30.453,19:53:30.545,Kiri,19:53:30.545,0.09244,3.26
19:53:30.592,19:53:30.690,Kiri,19:53:30.690,0.09750,7.18
19:53:30.730,19:53:30.820,Kiri,19:53:30.820,0.08973,7.25
19:53:30.867,19:53:30.957,Kiri,19:53:30.957,0.08929,7.22
19:53:31.006,19:53:31.097,Kiri,19:53:31.098,0.09116,7.22
19:53:31.143,19:53:31.237,Kiri,19:53:31.237,0.09352,7.31
19:53:31.282,19:53:31.370,Kiri,19:53:31.370,0.08850,7.24
19:53:31.408,19:53:31.499,Kiri,19:53:31.499,0.09080,8.11
19:53:31.536,19:53:31.624,Kiri,19:53:31.624,0.08894,7.62
19:53:31.660,19:53:31.757,Kiri,19:53:31.758,0.09663,8.13
19:53:31.802,19:53:31.890,Kiri,19:53:31.891,0.08791,7.02
19:53:31.938,19:53:32.037,Kiri,19:53:32.037,0.09987,7.30
19:53:32.075,19:53:32.165,Kiri,19:53:32.165,0.09037,7.30
19:53:32.213,19:53:32.304,Kiri,19:53:32.304,0.09139,7.23
19:53:32.351,19:53:32.443,Kiri,19:53:32.443,0.09132,7.24
19:53:32.563,19:53:32.653,Kiri,19:53:32.653,0.09033,21.64
19:53:32.689,19:53:32.781,Kiri,19:53:32.781,0.09196,6.47
19:53:32.827,19:53:32.927,Kiri,19:53:32.928,0.09992,7.27
19:53:32.965,19:53:33.061,Kiri,19:53:33.061,0.09568,7.28
19:53:33.332,19:53:33.424,Kiri,19:53:33.424,0.09147,21.58
19:53:33.473,19:53:33.567,Kiri,19:53:33.567,0.09392,5.93
19:53:33.610,19:53:33.701,Kiri,19:53:33.701,0.09030,7.27
19:53:33.864,19:53:33.981,Kiri,19:53:33.981,0.11640,11.38
19:53:34.029,19:53:34.124,Kiri,19:53:34.125,0.09582,5.22
19:53:34.164,19:53:34.254,Kiri,19:53:34.254,0.08955,7.35
19:53:34.303,19:53:34.394,Kiri,19:53:34.394,0.09101,7.23
19:53:34.440,19:53:34.532,Kanan,19:53:34.532,0.09186,7.25
19:53:34.579,19:53:34.668,Kanan,19:53:34.668,0.08966,7.26
19:53:34.716,19:53:34.805,Kanan,19:53:34.806,0.08893,7.16
19:53:34.856,19:53:34.949,Kanan,19:53:34.949,0.09248,7.22
19:53:34.998,19:53:35.103,Kanan,19:53:35.103,0.10530,7.19
19:53:35.150,19:53:35.238,Kanan,19:53:35.239,0.08739,6.49
19:53:35.287,19:53:35.375,Kanan,19:53:35.376,0.08790,7.24
19:53:35.484,19:53:35.575,Kanan,19:53:35.575,0.09043,21.97
19:53:35.624,19:53:35.717,Kanan,19:53:35.718,0.09301,5.93
19:53:35.764,19:53:35.854,Mundur,19:53:35.855,0.09057,7.21
19:53:35.888,19:53:35.985,Mundur,19:53:35.987,0.09728,7.96
19:53:36.026,19:53:36.119,Mundur,19:53:36.119,0.09349,7.38
19:53:36.163,19:53:36.251,Mundur,19:53:36.251,0.08803,7.31
19:53:36.299,19:53:36.388,Mundur,19:53:36.388,0.08889,7.25
19:53:36.438,19:53:36.528,Mundur,19:53:36.528,0.09022,7.25
19:53:36.574,19:53:36.667,Mundur,19:53:36.667,0.09230,7.30
19:53:36.713,19:53:36.807,Mundur,19:53:36.807,0.09451,7.25
19:53:36.850,19:53:36.944,Mundur,19:53:36.944,0.09371,7.27
19:53:36.987,19:53:37.083,Mundur,19:53:37.083,0.09611,7.25
19:53:37.126,19:53:37.218,Maju,19:53:37.218,0.09265,7.22
19:53:37.264,19:53:37.356,Maju,19:53:37.356,0.09137,7.20
19:53:37.404,19:53:37.496,Stop,19:53:37.496,0.09185,7.24
19:53:37.540,19:53:37.628,Stop,19:53:37.629,0.08782,7.26
19:53:37.664,19:53:37.758,Stop,19:53:37.758,0.09384,8.15
19:53:37.805,19:53:37.897,Stop,19:53:37.897,0.09206,7.19
19:53:37.940,19:53:38.052,Stop,19:53:38.052,0.11228,7.30
19:53:38.093,19:53:38.181,Stop,19:53:38.182,0.08836,6.50
19:53:38.235,19:53:38.339,Stop,19:53:38.339,0.10385,7.21
19:53:38.386,19:53:38.477,Stop,19:53:38.477,0.09059,6.54
