start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps
22:40:34.257,22:40:35.260,Kanan,N/A,True,22:40:35.261,1.00315,21.89
22:40:35.300,22:40:35.400,Kanan,N/A,N/A,22:40:35.401,0.09958,0.96
22:40:35.442,22:40:35.539,Kanan,N/A,N/A,22:40:35.539,0.09614,6.92
22:40:35.578,22:40:35.683,Kanan,N/A,N/A,22:40:35.684,0.10455,7.26
22:40:35.731,22:40:35.831,Kanan,N/A,N/A,22:40:35.831,0.10027,6.54
22:40:35.870,22:40:35.965,Kanan,N/A,N/A,22:40:35.965,0.09502,7.20
22:40:36.008,22:40:36.103,Kanan,N/A,N/A,22:40:36.103,0.09518,7.26
22:40:36.138,22:40:36.232,Kanan,N/A,N/A,22:40:36.232,0.09390,7.68
22:40:36.270,22:40:36.365,Kanan,N/A,N/A,22:40:36.365,0.09473,7.63
22:40:36.407,22:40:36.506,Kanan,N/A,N/A,22:40:36.506,0.09933,7.24
22:40:36.544,22:40:36.643,Kanan,N/A,N/A,22:40:36.644,0.09815,7.30
22:40:36.678,22:40:36.783,Kanan,N/A,N/A,22:40:36.783,0.10508,7.55
22:40:36.823,22:40:36.920,Kanan,N/A,N/A,22:40:36.920,0.09732,6.89
22:40:36.955,22:40:37.050,Kanan,N/A,N/A,22:40:37.052,0.09547,7.53
22:40:37.099,22:40:37.195,Kanan,N/A,N/A,22:40:37.195,0.09595,6.94
22:40:37.229,22:40:37.323,Kanan,N/A,N/A,22:40:37.323,0.09374,7.66
22:40:37.359,22:40:37.461,Kanan,N/A,N/A,22:40:37.461,0.10184,7.64
22:40:37.499,22:40:37.596,Kanan,N/A,N/A,22:40:37.597,0.09637,7.22
22:40:37.637,22:40:37.732,Kanan,N/A,N/A,22:40:37.732,0.09494,7.24
22:40:37.776,22:40:37.881,Kanan,N/A,N/A,22:40:37.881,0.10443,7.28
22:40:37.930,22:40:38.029,Kiri,N/A,N/A,22:40:38.029,0.09910,6.51
22:40:38.066,22:40:38.161,Kiri,N/A,N/A,22:40:38.163,0.09524,7.24
22:40:38.205,22:40:38.298,Kiri,N/A,N/A,22:40:38.299,0.09383,7.24
22:40:38.342,22:40:38.434,Kiri,N/A,N/A,22:40:38.434,0.09225,7.25
22:40:38.480,22:40:38.590,Kiri,N/A,N/A,22:40:38.590,0.10990,7.24
22:40:38.638,22:40:38.770,Kiri,N/A,N/A,22:40:38.771,0.13163,6.43
22:40:38.810,22:40:38.939,Maju,N/A,N/A,22:40:38.939,0.12923,5.95
22:40:38.973,22:40:39.070,Kanan,N/A,N/A,22:40:39.070,0.09663,5.90
22:40:39.116,22:40:39.215,Kanan,N/A,N/A,22:40:39.215,0.09825,7.00
22:40:39.253,22:40:39.346,Kanan,N/A,N/A,22:40:39.346,0.09291,7.25
22:40:39.391,22:40:39.486,Kanan,N/A,N/A,22:40:39.486,0.09546,7.23
22:40:39.530,22:40:39.622,Kiri,N/A,N/A,22:40:39.622,0.09161,7.25
22:40:39.669,22:40:39.765,Kiri,N/A,N/A,22:40:39.765,0.09622,7.21
