start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps
19:42:53.236,19:42:53.935,Stop,Maju,False,19:42:53.935,0.69872,21.01
19:42:54.127,19:42:54.226,Stop,Maju,False,19:42:54.226,0.09952,6.55
19:42:54.406,19:42:54.509,Stop,Maju,False,19:42:54.510,0.10300,7.17
19:42:54.548,19:42:54.816,Maju,Maju,True,19:42:54.817,0.26815,7.14
19:42:54.992,19:42:55.087,Maju,Maju,True,19:42:55.087,0.09476,7.26
19:42:55.268,19:42:55.363,Maju,Maju,True,19:42:55.363,0.09472,7.42
19:42:55.545,19:42:55.643,Maju,Maju,True,19:42:55.644,0.09749,7.24
19:42:55.821,19:42:55.916,Maju,Maju,True,19:42:55.917,0.09470,7.26
19:42:56.095,19:42:56.188,Maju,Maju,True,19:42:56.190,0.09322,7.28
19:42:56.372,19:42:56.467,Maju,Maju,True,19:42:56.467,0.09467,7.21
19:42:56.650,19:42:56.749,Maju,Maju,True,19:42:56.749,0.09952,7.19
19:42:56.914,19:42:57.009,Maju,Maju,True,19:42:57.009,0.09474,7.70
19:42:57.189,19:42:57.279,Kiri,Maju,False,19:42:57.280,0.09026,7.23
19:42:57.444,19:42:57.542,Kiri,Maju,False,19:42:57.543,0.09845,7.69
19:42:57.728,19:42:57.834,Kiri,Maju,False,19:42:57.835,0.10514,7.21
19:42:58.020,19:42:58.114,Kiri,Maju,False,19:42:58.114,0.09420,7.27
19:42:58.298,19:42:58.401,Kiri,Maju,False,19:42:58.402,0.10268,7.23
19:42:58.586,19:42:58.679,Kiri,Maju,False,19:42:58.680,0.09331,6.67
19:42:58.878,19:42:58.976,Kiri,Maju,False,19:42:58.977,0.09786,6.58
19:42:59.152,19:42:59.244,Kiri,Maju,False,19:42:59.245,0.09237,7.26
19:42:59.504,19:42:59.600,Kiri,Maju,False,19:42:59.601,0.09572,21.72
19:42:59.783,19:42:59.877,Kiri,Maju,False,19:42:59.877,0.09400,7.15
19:43:00.061,19:43:00.153,Kiri,Maju,False,19:43:00.153,0.09218,7.21
19:43:00.335,19:43:00.427,Kiri,Maju,False,19:43:00.428,0.09137,7.20
19:43:00.613,19:43:00.708,Kiri,Maju,False,19:43:00.709,0.09499,7.20
19:43:00.889,19:43:00.986,Kiri,Maju,False,19:43:00.986,0.09709,7.24
19:43:01.182,19:43:01.282,Kiri,Maju,False,19:43:01.283,0.09988,6.49
19:43:01.458,19:43:01.556,Kiri,Maju,False,19:43:01.556,0.09758,7.25
19:43:01.737,19:43:01.830,Kanan,Maju,False,19:43:01.831,0.09272,7.25
19:43:02.013,19:43:02.102,Kanan,Maju,False,19:43:02.103,0.08943,7.23
19:43:02.303,19:43:02.395,Kanan,Maju,False,19:43:02.396,0.09167,6.52
19:43:02.578,19:43:02.671,Kanan,Maju,False,19:43:02.672,0.09332,7.23
19:43:02.855,19:43:02.949,Kanan,Maju,False,19:43:02.949,0.09440,7.17
19:43:03.131,19:43:03.233,Kanan,Maju,False,19:43:03.234,0.10124,7.23
19:43:03.409,19:43:03.548,Kanan,Maju,False,19:43:03.548,0.13932,7.28
19:43:03.748,19:43:03.841,Kanan,Maju,False,19:43:03.841,0.09321,6.49
19:43:04.010,19:43:04.102,Mundur,Maju,False,19:43:04.102,0.09176,7.42
19:43:04.286,19:43:04.386,Mundur,Maju,False,19:43:04.387,0.10020,7.22
19:43:04.641,19:43:04.733,Mundur,Maju,False,19:43:04.733,0.09132,22.58
19:43:04.920,19:43:05.016,Mundur,Maju,False,19:43:05.017,0.09625,7.25
19:43:05.199,19:43:05.292,Mundur,Maju,False,19:43:05.293,0.09247,7.19
19:43:05.477,19:43:05.575,Mundur,Maju,False,19:43:05.576,0.09785,7.20
19:43:05.751,19:43:05.843,Stop,Maju,False,19:43:05.843,0.09223,7.27
19:43:06.028,19:43:06.131,Stop,Maju,False,19:43:06.132,0.10237,7.20
19:43:06.338,19:43:06.431,Stop,Maju,False,19:43:06.431,0.09294,6.38
19:43:06.610,19:43:06.703,Stop,Maju,False,19:43:06.704,0.09388,7.23
19:43:06.885,19:43:06.981,Stop,Maju,False,19:43:06.983,0.09644,7.17
19:43:07.162,19:43:07.255,Stop,Maju,False,19:43:07.256,0.09317,7.28
19:43:07.438,19:43:07.534,Stop,Maju,False,19:43:07.534,0.09610,7.26
19:43:07.712,19:43:07.807,Stop,Maju,False,19:43:07.809,0.09584,7.30
