start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps
16:35:04.406,16:35:04.649,Maju,Maju,True,16:35:04.650,0.24244,32.66
16:35:04.870,16:35:04.937,Maju,Maju,True,16:35:04.937,0.06778,10.95
16:35:05.144,16:35:05.197,Maju,Maju,True,16:35:05.198,0.05375,10.91
16:35:05.405,16:35:05.460,Maju,Maju,True,16:35:05.461,0.05541,10.85
16:35:05.665,16:35:05.846,Maju,Maju,True,16:35:05.846,0.18072,10.92
16:35:06.033,16:35:06.084,Maju,Maju,True,16:35:06.084,0.05106,13.09
16:35:06.264,16:35:06.317,Maju,Maju,True,16:35:06.317,0.05287,13.03
16:35:06.493,16:35:06.546,Maju,Maju,True,16:35:06.546,0.05242,13.06
16:35:06.742,16:35:06.797,Maju,Maju,True,16:35:06.798,0.05516,10.80
16:35:06.986,16:35:07.036,Maju,Maju,True,16:35:07.037,0.04975,13.14
16:35:07.232,16:35:07.286,Maju,Maju,True,16:35:07.286,0.05337,10.82
16:35:07.468,16:35:07.522,Maju,Maju,True,16:35:07.523,0.05305,12.02
16:35:07.709,16:35:07.766,Maju,Maju,True,16:35:07.766,0.05723,12.97
16:35:07.953,16:35:08.004,Maju,Maju,True,16:35:08.004,0.05075,13.22
16:35:08.183,16:35:08.233,Maju,Maju,True,16:35:08.234,0.05015,13.04
16:35:08.412,16:35:08.461,Maju,Maju,True,16:35:08.462,0.04898,13.06
16:35:08.642,16:35:08.695,Maju,Maju,True,16:35:08.696,0.05278,13.06
16:35:08.872,16:35:08.925,Maju,Maju,True,16:35:08.925,0.05266,12.98
16:35:09.102,16:35:09.154,Maju,Maju,True,16:35:09.154,0.05178,12.88
16:35:09.332,16:35:09.385,Maju,Maju,True,16:35:09.385,0.05293,13.07
16:35:09.561,16:35:09.611,Maju,Maju,True,16:35:09.612,0.05002,12.90
16:35:09.791,16:35:09.841,Maju,Maju,True,16:35:09.842,0.04973,13.14
16:35:10.024,16:35:10.074,Maju,Maju,True,16:35:10.074,0.05071,12.69
