start_gesture_time,end_gesture_time,predicted_label,true_label,is_correct,send_time,inference_time,fps
22:41:58.880,22:41:59.565,Kiri,N/A,N/A,22:41:59.565,0.68418,21.73
22:41:59.609,22:41:59.706,Kiri,N/A,N/A,22:41:59.707,0.09629,1.38
22:41:59.746,22:41:59.845,Kiri,N/A,N/A,22:41:59.845,0.09900,7.18
22:41:59.879,22:41:59.971,Kiri,N/A,N/A,22:41:59.972,0.09200,7.54
22:42:00.010,22:42:00.285,Kiri,N/A,N/A,22:42:00.285,0.27524,7.68
22:42:00.330,22:42:00.427,Kiri,N/A,N/A,22:42:00.427,0.09642,3.10
22:42:00.471,22:42:00.570,Kiri,N/A,N/A,22:42:00.570,0.09900,7.25
22:42:00.608,22:42:00.699,Kiri,N/A,N/A,22:42:00.699,0.09191,7.22
22:42:00.745,22:42:00.837,Kiri,N/A,N/A,22:42:00.837,0.09127,7.26
22:42:00.885,22:42:00.979,Kiri,N/A,N/A,22:42:00.979,0.09430,7.24
22:42:01.022,22:42:01.117,Kiri,N/A,N/A,22:42:01.117,0.09453,7.16
22:42:01.162,22:42:01.253,Kiri,N/A,N/A,22:42:01.254,0.09148,7.22
22:42:01.301,22:42:01.396,Kiri,N/A,N/A,22:42:01.397,0.09411,7.17
22:42:01.440,22:42:01.533,Kiri,N/A,N/A,22:42:01.533,0.09230,7.30
22:42:01.576,22:42:01.671,Kiri,N/A,N/A,22:42:01.671,0.09489,7.26
22:42:01.714,22:42:01.806,Kiri,N/A,N/A,22:42:01.806,0.09243,7.27
22:42:01.853,22:42:01.948,Stop,N/A,N/A,22:42:01.948,0.09525,7.22
22:42:01.990,22:42:02.084,Stop,N/A,N/A,22:42:02.084,0.09440,7.26
22:42:02.130,22:42:02.221,Stop,N/A,N/A,22:42:02.221,0.09154,7.20
22:42:02.270,22:42:02.362,Stop,N/A,N/A,22:42:02.362,0.09118,7.17
22:42:02.407,22:42:02.516,Stop,N/A,N/A,22:42:02.516,0.10936,7.27
22:42:02.561,22:42:02.667,Stop,N/A,N/A,22:42:02.668,0.10535,6.49
22:42:02.718,22:42:02.811,Stop,N/A,N/A,22:42:02.811,0.09265,6.51
22:42:02.854,22:42:02.951,Stop,N/A,N/A,22:42:02.951,0.09619,7.26
22:42:02.989,22:42:03.100,Stop,N/A,N/A,22:42:03.100,0.11162,7.26
22:42:03.143,22:42:03.237,Stop,N/A,N/A,22:42:03.237,0.09405,6.53
22:42:03.281,22:42:03.384,Stop,N/A,N/A,22:42:03.385,0.10368,7.27
22:42:03.420,22:42:03.528,Stop,N/A,N/A,22:42:03.529,0.10820,7.23
22:42:03.571,22:42:03.674,Stop,N/A,N/A,22:42:03.674,0.10265,6.54
22:42:03.711,22:42:03.828,Stop,N/A,N/A,22:42:03.828,0.11712,7.24
22:42:03.879,22:42:03.976,Stop,N/A,N/A,22:42:03.976,0.09716,5.93
22:42:04.015,22:42:04.118,Stop,N/A,N/A,22:42:04.118,0.10349,7.30
22:42:04.152,22:42:04.248,Stop,N/A,N/A,22:42:04.248,0.09633,7.20
22:42:04.292,22:42:04.382,Stop,N/A,N/A,22:42:04.382,0.09065,7.25
22:42:04.430,22:42:04.526,Stop,N/A,N/A,22:42:04.527,0.09569,7.24
22:42:04.569,22:42:04.667,Stop,N/A,N/A,22:42:04.668,0.09803,7.23
22:42:04.707,22:42:04.815,Stop,N/A,N/A,22:42:04.815,0.10786,7.22
22:42:04.863,22:42:04.969,Stop,N/A,N/A,22:42:04.969,0.10673,6.45
22:42:05.023,22:42:05.126,Stop,N/A,N/A,22:42:05.126,0.10305,6.39
22:42:05.174,22:42:05.269,Stop,N/A,N/A,22:42:05.269,0.09540,6.44
22:42:05.305,22:42:05.403,Stop,N/A,N/A,22:42:05.404,0.09824,7.63
22:42:05.452,22:42:05.548,Kiri,N/A,N/A,22:42:05.548,0.09516,6.74
22:42:05.591,22:42:05.682,Kiri,N/A,N/A,22:42:05.683,0.09158,7.26
22:42:05.718,22:42:05.813,Kiri,N/A,N/A,22:42:05.813,0.09432,7.94
22:42:05.852,22:42:05.953,Kiri,N/A,N/A,22:42:05.954,0.10162,7.42
