start_gesture_time,end_gesture_time,gesture_detected,send_time,move_start_time,inference_time,delay,fps
1746941451.016324,1746941451.258316,Stop,1746941451.258316,1746941451.458316,0.24199,0.200,32.91
1746941451.292775,1746941451.355910,Stop,1746941451.355910,1746941451.555910,0.06314,0.200,3.60
1746941451.385841,1746941451.443573,Stop,1746941451.443573,1746941451.643573,0.05773,0.200,10.79
1746941451.481385,1746941451.541154,Stop,1746941451.541154,1746941451.741154,0.05977,0.200,10.66
1746941451.574635,1746941451.630668,Stop,1746941451.630668,1746941451.830668,0.05603,0.200,10.77
1746941451.666013,1746941451.725589,Stop,1746941451.725589,1746941451.925589,0.05958,0.200,10.76
1746941451.757616,1746941451.814737,Stop,1746941451.814737,1746941452.014737,0.05712,0.200,10.83
1746941451.851895,1746941451.908001,Stop,1746941451.908001,1746941452.108001,0.05611,0.200,10.69
1746941451.942512,1746941452.000100,Stop,1746941452.000100,1746941452.200100,0.05759,0.200,10.79
1746941452.022766,1746941452.078148,Stop,1746941452.078148,1746941452.278148,0.05538,0.200,12.80
1746941452.113438,1746941452.167658,Stop,1746941452.168671,1746941452.368671,0.05422,0.201,10.90
1746941452.190628,1746941452.246713,Stop,1746941452.246713,1746941452.446713,0.05609,0.200,12.97
1746941452.269400,1746941452.451546,Stop,1746941452.451546,1746941452.651546,0.18215,0.200,12.70
1746941452.484570,1746941452.535889,Stop,1746941452.535889,1746941452.735889,0.05132,0.200,4.64
1746941452.562669,1746941452.616491,Stop,1746941452.617002,1746941452.817003,0.05382,0.201,12.83
1746941452.639449,1746941452.694620,Stop,1746941452.694620,1746941452.894620,0.05517,0.200,12.92
1746941452.717403,1746941452.768227,Stop,1746941452.768227,1746941452.968227,0.05082,0.200,12.97
1746941452.794948,1746941452.847466,Stop,1746941452.847466,1746941453.047467,0.05252,0.200,12.86
1746941452.871800,1746941452.924844,Stop,1746941452.924844,1746941453.124844,0.05304,0.200,13.11
1746941452.948435,1746941452.997577,Stop,1746941452.997577,1746941453.197577,0.04914,0.200,12.92
1746941453.026689,1746941453.078485,Stop,1746941453.078485,1746941453.278485,0.05180,0.200,12.87
1746941453.103008,1746941453.154389,Stop,1746941453.154389,1746941453.354389,0.05138,0.200,13.03
1746941453.179372,1746941453.230300,Stop,1746941453.230300,1746941453.430300,0.05093,0.200,12.97
1746941453.257303,1746941453.309729,Stop,1746941453.309729,1746941453.509729,0.05243,0.200,13.05
1746941453.333600,1746941453.387073,Stop,1746941453.387073,1746941453.587073,0.05347,0.200,13.01
1746941453.411776,1746941453.463642,Stop,1746941453.463642,1746941453.663642,0.05187,0.200,12.80
1746941453.488252,1746941453.540551,Stop,1746941453.540551,1746941453.740551,0.05230,0.200,13.02
1746941453.564227,1746941453.615708,Stop,1746941453.616719,1746941453.816719,0.05148,0.201,13.04
1746941453.642455,1746941453.694842,Stop,1746941453.695873,1746941453.895873,0.05239,0.201,13.00
1746941453.719338,1746941453.771943,Stop,1746941453.771943,1746941453.971943,0.05260,0.200,12.96
1746941453.797063,1746941453.850055,Stop,1746941453.850055,1746941454.050055,0.05299,0.200,12.97
1746941453.874587,1746941453.927026,Stop,1746941453.927026,1746941454.127026,0.05244,0.200,12.98
1746941453.950965,1746941454.003354,Stop,1746941454.003354,1746941454.203354,0.05239,0.200,12.91
1746941454.028151,1746941454.080092,Stop,1746941454.081105,1746941454.281105,0.05194,0.201,13.00
